id,user_id,movie_id,rating
378,8,47,5
379,8,50,1
380,8,52,2
381,8,54,3
382,8,55,4
383,8,56,4
384,8,57,5
385,8,58,5
386,8,60,1
387,8,62,2
388,8,63,3
389,8,64,3
391,8,66,4
392,8,69,5
393,8,70,1
395,8,74,3
396,8,76,4
397,8,77,5
398,8,78,5
399,8,80,1
400,8,81,2
401,8,82,2
402,8,83,3
403,8,85,4
404,8,87,5
405,8,88,5
406,8,89,5
407,8,91,2
408,8,92,2
409,8,93,3
410,8,94,3
411,8,95,4
413,8,99,5
414,8,100,1
416,9,3,2
417,9,4,3
418,9,5,3
419,9,6,4
420,9,10,1
421,9,11,1
422,9,14,3
423,9,15,3
424,9,16,4
425,9,17,4
426,9,19,5
427,9,22,2
428,9,26,4
429,9,27,4
430,9,32,2
432,9,39,5
433,9,40,1
435,9,43,2
436,9,48,5
440,9,52,2
441,9,53,2
442,9,55,3
443,9,57,4
445,9,59,5
446,9,60,1
447,9,62,2
448,9,63,2
449,9,64,3
450,9,65,3
451,9,66,4
452,9,67,4
453,9,69,5
454,9,73,2
455,9,77,4
456,9,78,5
457,9,82,2
458,9,83,2
459,9,87,4
460,9,88,5
461,9,90,1
462,9,92,2
463,9,95,3
465,9,97,4
466,9,100,1
467,10,3,2
468,10,5,3
469,10,6,3
470,10,7,4
471,10,10,0
472,10,12,1
473,10,13,2
474,10,15,3
475,10,18,4
476,10,19,5
477,10,20,0
478,10,21,1
479,10,24,2
480,10,25,3
481,10,28,4
482,10,30,0
484,10,32,1
485,10,33,2
487,10,37,4
488,10,40,0
489,10,41,1
491,10,47,4
493,10,49,5
494,10,50,0
495,10,52,1
496,10,53,2
497,10,55,3
498,10,56,3
499,10,57,4
500,10,59,5
505,10,68,4
506,10,69,5
507,10,70,0
508,10,71,1
509,10,76,3
510,10,77,4
512,10,79,5
513,10,80,0
514,10,83,2
515,10,84,2
516,10,85,3
517,10,86,3
518,10,87,4
520,10,90,0
521,10,93,2
522,10,94,2
523,10,99,5
